symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2018-03-13,67.221400,68.285100,False,67.053900,68.226000,reg,7210614,67.52013333333333,67.71629499999997,1.1048363333333402,-11.836544517854014
CVS,2018-03-14,66.039500,67.467600,False,65.625800,67.280500,reg,7622394,66.37763333333334,67.56560499999998,1.1048363333333402,-71.68311606133119
CVS,2018-03-15,64.867400,66.561500,False,64.670400,66.216700,reg,9485322,65.36643333333333,67.37206499999999,1.1048363333333402,-121.02134383503841
CVS,2018-03-16,64.660600,65.448500,False,64.660600,65.093900,reg,15281573,64.92323333333333,67.13371499999998,1.1048363333333402,-133.38214901010306
CVS,2018-03-19,62.671000,64.887100,False,62.355800,64.729500,reg,8883202,63.304633333333335,66.72644499999998,1.1048363333333402,-206.47472471286866
CVS,2018-03-20,61.991400,63.124100,False,60.937500,63.005900,reg,9700642,62.01766666666666,66.34626499999999,1.1048363333333402,-261.1909235022924
CVS,2018-03-21,61.479200,62.286900,False,61.459500,62.011100,reg,7525722,61.74186666666666,66.03403999999998,1.1048363333333402,-258.99301123232976
CVS,2018-03-22,60.858700,62.306600,False,60.809500,61.124700,reg,8590535,61.32493333333334,65.72822,1.1048363333333402,-265.69767447707187
CVS,2018-03-23,59.942700,61.510300,False,59.863900,61.065600,reg,6976888,60.438966666666666,65.36871999999998,1.1048363333333402,-297.46507451530744
CVS,2018-03-26,60.671600,60.893200,False,60.129800,60.356400,reg,7496724,60.56486666666666,65.04221499999997,1.1048363333333402,-270.1666119074218
CVS,2018-03-27,59.686700,60.937500,False,59.233600,60.799600,reg,7843733,59.9526,64.66547999999997,1.1048363333333402,-284.3787722404705
CVS,2018-03-28,61.764900,62.020900,False,59.893500,59.962400,reg,10253808,61.22643333333334,64.41826499999998,1.1048363333333402,-192.59755617900674
CVS,2018-03-29,61.272400,62.444500,False,60.415500,61.745200,reg,8096447,61.37746666666666,64.17498999999998,1.1048363333333402,-168.80469072995726
CVS,2018-04-02,60.120000,61.262500,False,59.537200,61.124700,reg,7863588,60.30656666666666,63.85882499999998,1.1048363333333402,-214.34597603043457
CVS,2018-04-03,61.636800,61.774700,False,60.208500,60.642000,reg,7793769,61.20666666666667,63.576639999999976,1.1048363333333402,-143.00599777121084
CVS,2018-04-04,63.311200,64.010500,False,61.183800,61.439800,reg,10281609,62.83516666666666,63.41067999999998,1.1048363333333402,-34.7269132974637
CVS,2018-04-05,63.685500,64.177900,False,63.232400,63.518000,reg,5471463,63.6986,63.27032999999998,1.1048363333333402,25.842138307665866
CVS,2018-04-06,62.424800,63.793800,False,61.913600,63.399800,reg,5114814,62.71073333333334,63.025084999999976,1.1048363333333402,-18.968219224424292
CVS,2018-04-09,62.355800,63.557400,False,61.824000,62.680800,reg,6096539,62.57906666666667,62.73157499999998,1.1048363333333402,-9.20246910376817
CVS,2018-04-10,63.005900,63.350600,False,62.089900,62.759600,reg,6417218,62.81546666666666,62.48337499999998,1.1048363333333402,20.038664349179655
CVS,2018-04-11,62.119400,63.330900,False,61.961800,62.917200,reg,7493710,62.4707,62.22827499999998,1.1048363333333402,14.628109321773877
CVS,2018-04-12,63.035400,63.370300,False,62.523300,62.749800,reg,5500028,62.976333333333336,62.07806999999998,1.1048363333333402,54.201894358008886
